 minimum eigenvalues =  0.20280641186861459 0.21941481797189319 0.22985457885597677
 maximum eigenvalues =  3225.384472640475 481.72765559786103 350.03170853490155
 num eigs kept =  63
 iter     1 lrate =  0.0500000000 LL =  -1.8623230418 nd =  0.0413469210, D =   0.16978E-01  0.16978E-01  (  5.93 s,   3.3 h)
 iter     2 lrate =  0.0500000000 LL =  -1.8221747784 nd =  0.0150636884, D =   0.14742E-01  0.14742E-01  (  6.12 s,   3.4 h)
 iter     3 lrate =  0.0500000000 LL =  -1.8166479382 nd =  0.0099610160, D =   0.12491E-01  0.12491E-01  (  6.05 s,   3.4 h)
 iter     4 lrate =  0.0500000000 LL =  -1.8151404672 nd =  0.0097936016, D =   0.11463E-01  0.11463E-01  (  5.96 s,   3.3 h)
 iter     5 lrate =  0.0500000000 LL =  -1.8143076120 nd =  0.0096362584, D =   0.11914E-01  0.11914E-01  (  6.05 s,   3.4 h)
 iter     6 lrate =  0.0500000000 LL =  -1.8136958843 nd =  0.0093724920, D =   0.13674E-01  0.13674E-01  (  6.53 s,   3.6 h)
 iter     7 lrate =  0.0500000000 LL =  -1.8131872404 nd =  0.0090792461, D =   0.16489E-01  0.16489E-01  (  6.36 s,   3.5 h)
 iter     8 lrate =  0.0500000000 LL =  -1.8127440037 nd =  0.0087938732, D =   0.20119E-01  0.20119E-01  (  6.59 s,   3.6 h)
 iter     9 lrate =  0.0500000000 LL =  -1.8123472680 nd =  0.0085305191, D =   0.24356E-01  0.24356E-01  (  6.01 s,   3.3 h)
 iter    10 lrate =  0.0500000000 LL =  -1.8119949370 nd =  0.0082856959, D =   0.29029E-01  0.29029E-01  (  6.00 s,   3.3 h)
 iter    11 lrate =  0.0500000000 LL =  -1.8116708091 nd =  0.0080718387, D =   0.33988E-01  0.33988E-01  (  6.04 s,   3.3 h)
 iter    12 lrate =  0.0500000000 LL =  -1.8113704373 nd =  0.0078878555, D =   0.39121E-01  0.39121E-01  (  6.51 s,   3.6 h)
 iter    13 lrate =  0.0500000000 LL =  -1.8110920671 nd =  0.0077340459, D =   0.44338E-01  0.44338E-01  (  6.51 s,   3.6 h)
 iter    14 lrate =  0.0500000000 LL =  -1.8108284747 nd =  0.0076063490, D =   0.49573E-01  0.49573E-01  (  6.48 s,   3.6 h)
 iter    15 lrate =  0.0500000000 LL =  -1.8105767286 nd =  0.0074986092, D =   0.54776E-01  0.54776E-01  (  6.38 s,   3.5 h)
 iter    16 lrate =  0.0500000000 LL =  -1.8103374277 nd =  0.0074005676, D =   0.59905E-01  0.59905E-01  (  3.57 s,   2.0 h)
 iter    17 lrate =  0.0500000000 LL =  -1.8101057591 nd =  0.0073220193, D =   0.64920E-01  0.64920E-01  (  3.03 s,   1.7 h)
